Account Number,Account Name,sku,category,quantity,unit price,ext price,date
803666,Fritsch-Glover,HX-24728,Hat,1,98.98,98.98,2014-09-28T11:56:02.000000
64898,O'Conner Inc,LK-02338,Sweater,9,34.8,313.2,2014-04-24T16:51:22.000000
423621,Beatty and Sons,ZC-07383,Sweater,12,60.24,722.88,2014-09-17T17:26:22.000000
137865,"Gleason, Bogisich and Franecki",QS-76400,Sweater,5,15.25,76.25,2014-01-30T07:34:02.000000
435433,Morissette-Heathcote,RU-25060,Sweater,19,51.83,984.77,2014-08-24T06:18:12.000000
198887,Shanahan-Bartoletti,FT-50146,Sweater,4,18.51,74.04,2014-09-05T07:24:23.000000
969663,"Gusikowski, Reichert and Gerlach",AE-95093,Socks,4,49.95,199.8,2014-04-28T21:51:24.000000
1288,"Wilderman, Herman and Breitenberg",FT-50146,Sweater,14,68.2,954.8,2013-12-04T13:53:26.000000
979589,Brown Inc,HX-24728,Hat,16,52.99,847.84,2014-02-07T14:53:59.000000
839884,"Turcotte, Turner and Anderson",FT-50146,Sweater,8,21.35,170.8,2014-09-03T16:06:44.000000
91059,"Armstrong, Champlin and Ratke",FT-50146,Sweater,17,34.61,588.37,2014-04-06T20:52:15.000000
151300,"Upton, Runolfsson and O'Reilly",HX-24728,Hat,3,75.1,225.3,2014-08-03T07:55:47.000000
185412,"Goyette, Kessler and Goodwin",AE-95093,Socks,10,10.93,109.3,2014-07-11T17:20:23.000000
357988,Dietrich-Krajcik,QS-76400,Sweater,15,11.15,167.25,2014-02-21T08:57:47.000000
269278,Luettgen-Ritchie,QS-76400,Sweater,11,91.95,1011.45,2014-09-03T02:15:19.000000
823639,Reilly-Leannon,LK-02338,Sweater,11,72.65,799.15,2014-05-27T12:36:40.000000
400974,"Schimmel, Schaefer and Treutel",AE-95093,Socks,19,53.69,1020.11,2014-09-16T10:28:24.000000
780068,Stroman-Adams,AE-95093,Socks,9,86.56,779.04,2014-06-23T04:56:51.000000
566220,Collier Group,QS-76400,Sweater,6,90.08,540.48,2014-04-02T21:57:58.000000
169443,Larson-Huels,LK-02338,Sweater,1,31.0,31.0,2014-05-02T23:52:12.000000
