Expression,Description
`dt.date`,Extract date from date(time).
`dt.days_in_month`,Extract the number of days in the month
`dt.is_leap_year`,Determine whether the year of the underlying date is a leap year. Return values are boolean (true/false).
`dt.minute`,Returns the minute number from 0 to 59.
`dt.month_end`,Rolls date forward to the last day of the month.
`dt.month_start`,Rolls date backward to the first day of the month.
`dt.ordinal_day`,Returns the day of year starting from 1. The return value ranges from 1 to 366.
`dt.quarter`,Returns the quarter in a year ranging from 1 to 4.
`dt.second`,Returns the integer second number from 0 to 59.
`dt.timestamp`,Return a timestamp in the given time unit.
`dt.week`,Returns the ISO week number starting from 1. The return value ranges from 1 to 53.
`dt.weekday`,Returns the ISO weekday number where monday = 1 and sunday = 7
